google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',fried deviled eggs,"deviled egg filling, chives",0.34582546,"{'name': np.float32(0.3583888), 'ingredient_1': np.float32(0.43776244), 'ingredient_2': np.float32(0.4026484), 'ingredient_3': np.float32(0.4958301)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',brisket of beef,,0.34534514,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',housemade caviar tater tots,,0.34490305,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',torte asortite,,0.34489852,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',burnt basque cheesecake,"biscoff crumble, dehydrated blood orange, buttermilk-vanilla panna cotta, blood orange gelée, candied orange peel, macarated blood orange",0.34467798,"{'name': np.float32(0.37897927), 'ingredient_1': np.float32(0.34990594), 'ingredient_2': np.float32(0.43605912), 'ingredient_3': np.float32(0.42570263)}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',nutella cheesecake pudding,"lemon, blood, butter, cake, toffee, juniper, sauce, cracker, pecans, date, brown, curds, crust, chocolate, berries, graham",0.34416747,"{'name': np.float32(0.3856793), 'ingredient_1': np.float32(0.47326398), 'ingredient_2': np.float32(0.48358378), 'ingredient_3': np.float32(0.4435799)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',lettuce & tomato,,0.3433184,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=3855027074564989442','http://places.singleplatform.com/fuads/menu?ref=google',shrimp and lobster key lime bisque,,0.34270945,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',red bull,,0.3424349,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',custard lava french toast,"jackfruit crème anglaise, maple syrup, tropical fruit, custard stuffed milk bread",0.34224194,"{'name': np.float32(0.35744035), 'ingredient_1': np.float32(0.43539557), 'ingredient_2': np.float32(0.43985742), 'ingredient_3': np.float32(0.46380353)}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',peach tea whiskey smash,"old forester bourbon, lemon juice, peach syrup, topped with sweet tea, deep eddy's sweet tea vodka, fresh mint",0.34196413,"{'name': np.float32(0.41000247), 'ingredient_1': np.float32(0.40524125), 'ingredient_2': np.float32(0.42569178), 'ingredient_3': np.float32(0.45168823)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',knockwurst specials,,0.3417706,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',tabuli salad,,0.34115267,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',kebab,,0.34098858,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
